query-id	corpus-id	score
7261	3441236	1
8411	661930	1
8913	6859442	1
687	5814465	1
3723	1079082	1
9582	510444	1
2472	1656770	1
1547	763164	1
5852	246417	1
3720	5898588	1
9320	2648354	1
5719	4437794	1
5178	1025019	1
148	490815	1
4727	1596563	1
320	2391607	1
4034	8681278	1
1652	308140	1
3586	7505985	1
1228	1858247	1
5824	7907036	1
494	643319	1
6107	6441270	1
5588	6036254	1
5272	7909725	1
1764	5135852	1
5647	1011146	1
8569	670545	1
170	2613203	1
5251	5757764	1
213	4222413	1
9342	2736148	1
1221	1623266	1
6183	4300627	1
7008	8807911	1
4307	1836719	1
2294	1767874	1
8701	5271432	1
986	5890644	1
6048	5734557	1
8431	2667048	1
3694	4496028	1
2969	2416147	1
4146	5763116	1
6587	4242894	1
9488	2384867	1
2547	1692084	1
3142	5007404	1
5461	845335	1
6951	535398	1
846	4478838	1
2990	2205923	1
6600	4027987	1
9619	3288145	1
7587	6801662	1
5236	5988244	1
5232	954599	1
1363	5965755	1
7917	7834202	1
6515	656795	1
9519	3712519	1
708	8819464	1
2730	3319655	1
1671	3779174	1
1821	7081217	1
2439	1888324	1
5469	1195721	1
3609	1826268	1
5094	4615367	1
171	3747303	1
6439	7855464	1
8676	4835015	1
5958	4923283	1
9403	2590058	1
1900	5284897	1
8891	3020649	1
611	4515591	1
2171	4928160	1
8368	4373670	1
3509	5192817	1
1202	4811133	1
7686	6794441	1
6336	6855759	1
3304	3280684	1
2657	5633744	1
9501	2662728	1
1947	7938807	1
8126	3014446	1
506	3401429	1
4318	2378929	1
6240	6964470	1
8402	5045950	1
6924	4777074	1
3557	65721	1
703	3702847	1
9116	3662890	1
7475	4896570	1
775	5440423	1
9541	7350569	1
3633	8426267	1
