query-id	corpus-id	score
test1	doc111679	1
test2	doc298255	1
test3	doc676715	1
test4	doc171174	1
test5	doc1600757	1
test6	doc1235264	1
test7	doc1387789	1
test8	doc469060	1
test9	doc112701	1
test10	doc1851505	1
test12	doc478081	1
test13	doc583331	1
test14	doc2080393	1
test15	doc905070	1
test16	doc907389	1
test17	doc1215061	1
test18	doc874908	1
test19	doc1930687	1
test20	doc1752022	1
test22	doc962252	1
test23	doc132425	1
test24	doc1374027	1
test25	doc2501210	1
test26	doc750742	1
test28	doc591117	1
test29	doc1353065	1
test30	doc746749	1
test31	doc2423275	1
test32	doc2431053	1
test33	doc650288	1
test34	doc1772476	1
test35	doc1453107	1
test36	doc1003675	1
test37	doc547382	1
test38	doc645691	1
test39	doc285738	1
test40	doc307105	1
test41	doc62348	1
test42	doc1272871	1
test43	doc162677	1
test44	doc1917129	1
test45	doc653752	1
test47	doc1730795	1
test48	doc1380806	1
test49	doc1081219	1
test50	doc96241	1
test51	doc827435	1
test52	doc1670058	1
test53	doc46230	1
test54	doc2317568	1
test55	doc563466	1
test56	doc413648	1
test57	doc1602542	1
test58	doc1242987	1
test59	doc189020	1
test60	doc1764519	1
test61	doc536007	1
test62	doc257976	1
test63	doc2422920	1
test64	doc1205638	1
test66	doc2481779	1
test67	doc63906	1
test68	doc54511	1
test69	doc283657	1
test70	doc1252913	1
test71	doc116063	1
test72	doc340600	1
test73	doc36429	1
test74	doc1529314	1
test75	doc799735	1
test77	doc836203	1
test78	doc547382	1
test79	doc213605	1
test80	doc415783	1
test81	doc357324	1
test82	doc1292979	1
test83	doc40372	1
test84	doc231042	1
test85	doc1162813	1
test86	doc1991301	1
test87	doc1029076	1
test88	doc1446894	1
test90	doc334157	1
test92	doc2245879	1
test93	doc675915	1
test94	doc1373705	1
test95	doc1479828	1
test96	doc108630	1
test97	doc2297302	1
test100	doc1856698	1
test101	doc1081741	1
test102	doc2462463	1
test103	doc2277769	1
test106	doc58499	1
test107	doc258213	1
test109	doc1139563	1
test110	doc1602726	1
test111	doc327975	1
test112	doc1210739	1
test113	doc736667	1
